"concept","from_var","to_var","from_years","to_years","gap_years","label_from","label_to","label_similarity","codes_equal","drift","drift_detail","name_flag","suggested_status","suggested_comparable","confidence","rationale"
"coneff","CONEFF95","CONEFF2","1995-1995","1996-2004",1,"CONDOM EFFECTIVENESS AGAINST HIV","HOW GOOD ARE CONDOMS AT STOPPING HIV SPR",0.09,,"no-catalog-labels","CONEFF95 has no catalog labels","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"grade","GRADE","GRADE95","1994-1994","1995-1995",1,"GRADE CHILD SHOULD BEGIN AIDS EDUCATION","GRADE TO BEGIN HIV INFECTION & AIDS EDUC",0.33,,"no-catalog-labels","neither generation has catalog labels (pre-1998?)","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"grade","GRADE95","GRADE2","1995-1995","1996-2000",1,"GRADE TO BEGIN HIV INFECTION & AIDS EDUC","GRADE TO BEGIN HIV INFECTN AND AIDS EDUC",0.71,,"no-catalog-labels","GRADE95 has no catalog labels","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"hcvu","_HCVU65","_HCVU651","2007-2010","2011-2020",1,"RESPONDENTS AGED 18-64 WITH HEALTH CARE","RESPONDENTS AGED 18-64 WITH HEALTH CARE",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"hcvu","_HCVU651","_HCVU652","2011-2020","2021-2022",1,"RESPONDENTS AGED 18-64 WITH HEALTH CARE","RESPONDENTS AGED 18-64 WITH HEALTH INSUR",0.75,TRUE,"label-wording-differs","code 2: 'Do not have health care coverage' -> 'Do not have any form of health insurance' | code 1: 'Have health care coverage' -> 'Have some form of health insurance'","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"hcvu","_HCVU652","_HCVU653","2021-2022","2023-2023",1,"RESPONDENTS AGED 18-64 WITH HEALTH INSUR","RESPONDENTS AGED 18-64 WITH HEALTH INSUR",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"hcvu","_HCVU653","_HCVU654","2023-2023","2024-2024",1,"RESPONDENTS AGED 18-64 WITH HEALTH INSUR","RESPONDENTS AGED 18-64 WITH HEALTH INSUR",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"income","INCOME","INCOME95","1985-1994","1995-1995",1,"INCOME LEVEL","INCOME LEVEL",1,,"no-catalog-labels","neither generation has catalog labels (pre-1998?)","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"income","INCOME95","INCOME2","1995-1995","1996-2020",1,"INCOME LEVEL","INCOME LEVEL",1,,"no-catalog-labels","INCOME95 has no catalog labels","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"lmtd","LMTD70","LMTD65","1993-1993","1994-1995",1,"LIMITED IN ACTIVITIES DUE TO HEALTH","LIMITED IN ACTIVITIES DUE TO HEALTH",1,,"no-catalog-labels","neither generation has catalog labels (pre-1998?)","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"lsttst","LSTTST95","LSTTST2","1995-1995","1996-1997",1,"LAST BLOOD TEST FOR HIV","LAST BLOOD TEST FOR HIV",1,,"no-catalog-labels","neither generation has catalog labels (pre-1998?)","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"mam","_MAM5021","_MAM5022","2014-2016","2018-2018",2,"WOMEN RESPONDENTS AGED 50-74 WHO HAVE HA","WOMEN RESPONDENTS AGED 50-74 WHO HAVE HA",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"mam","_MAM5022","_MAM5023","2018-2018","2020-2022",2,"WOMEN RESPONDENTS AGED 50-74 WHO HAVE HA","WOMEN RESPONDENTS AGED 50-74 WHO HAVE HA",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"nocov","NOCOV12","NOCOV121","1996-2000","2013-2018",13,"NO HEALTH CARE COVERAGE IN PAST 12 MNTHS","WITHOUT HEALTH CARE COVERAGE PAST 12 MON",0.56,FALSE,"code-set-differs","only in NOCOV12: {}; only in NOCOV121: {7}","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"prsnl","PRSNL70","PRSNL65","1993-1993","1994-1995",1,"NEED HELP OF OTHRS WITH PERSNL CARE","NEED HELP OF OTHRS WITH PERSNL CARE",1,,"no-catalog-labels","neither generation has catalog labels (pre-1998?)","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
