"year","source_file","source_url","source_sha256","source_size","downloaded","cdc_release"
"1985","CDBRFS85_XPT.zip","https://www.cdc.gov/brfss/annual_data/1985/files/CDBRFS85_XPT.zip","2084ed701e19caad571e82a41f7f3dc3b3205709e7589d14107bcd7d9d2a52d6","1671690","2026-08-02",""
"1986","CDBRFS86_XPT.zip","https://www.cdc.gov/brfss/annual_data/1986/files/CDBRFS86_XPT.zip","ac0af854a94da9293c96b346071d56e43cb7252551d8f25c2cdc4785cbd2a266","2421576","2026-08-02",""
"1987","CDBRFS87_XPT.zip","https://www.cdc.gov/brfss/annual_data/1987/files/CDBRFS87_XPT.zip","504f8f582723a15da0c33e93e9558efcbcf845c554353d899eed818ce6ef6610","3935248","2026-08-02",""
"1988","CDBRFS88_XPT.zip","https://www.cdc.gov/brfss/annual_data/1988/files/CDBRFS88_XPT.zip","19f0edafdbaa98ae25a8235b2eab39f059fba1d2084a55ac03885cf637e823be","5152478","2026-08-02",""
"1989","CDBRFS89_XPT.zip","https://www.cdc.gov/brfss/annual_data/1989/files/CDBRFS89_XPT.zip","329ffa0a50c00360f0c8184528feec68819bb6c353f0c4bfe11481e56f6fa320","6409896","2026-08-02",""
"1990","CDBRFS90XPT.zip","https://www.cdc.gov/brfss/annual_data/1990/files/CDBRFS90XPT.zip","a2636e0ca260fa8e9f2850504a91be022b43532611586898c410ff6e783014e7","9216925","2026-08-02",""
"1991","CDBRFS91XPT.zip","https://www.cdc.gov/brfss/annual_data/1991/files/CDBRFS91XPT.zip","c928fde12f94217dfc85bb16eaa0cc28b8bdc43f30f34da2fae0e2855a0e420d","9441502","2026-08-02",""
"1992","CDBRFS92XPT.zip","https://www.cdc.gov/brfss/annual_data/1992/files/CDBRFS92XPT.zip","08365306ecee4f75d1b3cb232ed944703d0bc3283d5a1f0b505e67ea2623adab","10255374","2026-08-02",""
"1993","CDBRFS93XPT.zip","https://www.cdc.gov/brfss/annual_data/1993/files/CDBRFS93XPT.zip","67d67180a1ee8a8b1d0b7a1f814d21d2998503b5e904df99dab9489681392c21","10513468","2026-08-02",""
"1994","CDBRFS94XPT.zip","https://www.cdc.gov/brfss/annual_data/1994/files/CDBRFS94XPT.zip","e3f9bcc4ced91298a4cbc359cea767c79886b04e2fc2917ff496abcd8307de0d","12464874","2026-08-02",""
"1995","CDBRFS95XPT.zip","https://www.cdc.gov/brfss/annual_data/1995/files/CDBRFS95XPT.zip","c719ab53dbc408c614fc1948c6b3380ac6fd076099a301af3023c97cef0d7da4","12564199","2026-08-02",""
"1996","CDBRFS96XPT.zip","https://www.cdc.gov/brfss/annual_data/1996/files/CDBRFS96XPT.zip","d1f6ab74c94065ff3fa5575dec037ce4618f7d2044b91913e9a6be80f5c49c9c","17037268","2026-08-02",""
"1997","CDBRFS97XPT.zip","https://www.cdc.gov/brfss/annual_data/1997/files/CDBRFS97XPT.zip","6a1a4e74786a8018a52a7b307f0c652d788d0fb3def6835d56da1b9792face4a","17685096","2026-08-02",""
"1998","CDBRFS98XPT.zip","https://www.cdc.gov/brfss/annual_data/1998/files/CDBRFS98XPT.zip","6ef78a151d7ef980333edab9cee84c13d6d5ed88cee9da0f1c560fb827da3cf4","22460106","2026-08-02",""
"1999","CDBRFS99XPT.zip","https://www.cdc.gov/brfss/annual_data/1999/files/CDBRFS99XPT.zip","2fd01153bb88fb0bda287880edb7c777e31e3a77dd01282c14755b70615deca0","21949279","2026-08-02",""
"2000","CDBRFS00XPT.zip","https://www.cdc.gov/brfss/annual_data/2000/files/CDBRFS00XPT.zip","a64a7394a5daa84d7a6542b2075e274d00e6025a9d9f0c4806d92c2049361a03","27093206","2026-08-02",""
"2001","CDBRFS01XPT.zip","https://www.cdc.gov/brfss/annual_data/2001/files/CDBRFS01XPT.zip","3554a5de587d336650932f9271fd93b48e8ca7f59fa464f40fc275a0ed121faf","33961868","2026-08-02",""
"2002","CDBRFS02XPT.zip","https://www.cdc.gov/brfss/annual_data/2002/files/CDBRFS02XPT.zip","6f335566d4c5c15aa53c2d627da7136ffba4627c6bd372473a068f084bce4ead","48516720","2026-08-02",""
"2003","CDBRFS03XPT.zip","https://www.cdc.gov/brfss/annual_data/2003/files/CDBRFS03XPT.zip","9cd00fc2e6aa44102d1427d0de7181e9151580fdbc89eda0cdf4731ed9b68463","50529263","2026-08-02",""
"2004","CDBRFS04XPT.zip","https://www.cdc.gov/brfss/annual_data/2004/files/CDBRFS04XPT.zip","98d0d515d2d56ff545ef73c73e5c37bfe2266eed4f33619654426e30b06078ab","43429342","2026-08-02",""
"2005","CDBRFS05XPT.zip","https://www.cdc.gov/brfss/annual_data/2005/files/CDBRFS05XPT.zip","10d1d1a4aba0cf71b68fe27710563fd038c8a6046cc976126a4dea9d05fcca37","69965003","2026-08-02",""
"2006","CDBRFS06XPT.zip","https://www.cdc.gov/brfss/annual_data/2006/files/CDBRFS06XPT.zip","abb6a41e71c290a93baae158659fdc67d4d4d9d85f9224ba62d149c2fd8a8118","63735947","2026-08-02",""
"2007","CDBRFS07XPT.zip","https://www.cdc.gov/brfss/annual_data/2007/files/CDBRFS07XPT.zip","5dcaf7141f1374649db97383858177fff855f3780ebea60a4b9c808f6f4c9fa4","105701730","2026-08-02",""
"2008","CDBRFS08XPT.zip","https://www.cdc.gov/brfss/annual_data/2008/files/CDBRFS08XPT.zip","9bbc4f00db5244b4433ed0c69062044ab707c1a3cc7ab9dffc1a43882bc9369e","82390412","2026-08-02",""
"2009","CDBRFS09XPT.zip","https://www.cdc.gov/brfss/annual_data/2009/files/CDBRFS09XPT.zip","37a168e41a96b8cb509c068907d274e112a2ce6583e3e9c66232a6344caa11fa","112539395","2026-08-02",""
"2010","CDBRFS10XPT.zip","https://www.cdc.gov/brfss/annual_data/2010/files/CDBRFS10XPT.zip","83a40c98a33633b3e9f3cf502b722cc3d584df76aedd9518fad0ffc7367ebed0","100881218","2026-08-02",""
"2011","LLCP2011XPT.ZIP","https://www.cdc.gov/brfss/annual_data/2011/files/LLCP2011XPT.ZIP","b8839b393b2f162571223ea40f4f7e60027e24638c200b2ed4751cc7df6f3ad9","131547028","2026-08-02",""
"2012","LLCP2012XPT.ZIP","https://www.cdc.gov/brfss/annual_data/2012/files/LLCP2012XPT.ZIP","74dfb4dad0eab7a9d84134477a98796dcc1ad9eb7e853e89ebc0d4a5d6be04a5","95413628","2026-08-02",""
"2013","LLCP2013XPT.ZIP","https://www.cdc.gov/brfss/annual_data/2013/files/LLCP2013XPT.ZIP","1d227324b889ad03a95e3262dd59b33a7557390c1ed586777f2ade9f1df70e48","128972628","2026-08-02",""
"2014","LLCP2014XPT.zip","https://www.cdc.gov/brfss/annual_data/2014/files/LLCP2014XPT.zip","ee6d43cc7034d04635901e06186e8d90a07bd94b39b20ed72c8ce8943315fabe","72251217","2026-08-02",""
"2015","LLCP2015XPT.zip","https://www.cdc.gov/brfss/annual_data/2015/files/LLCP2015XPT.zip","38bfd48c64b99328c67feac36cedfff6f2991d49e89c4ffd549083cb626764f0","98843355","2026-08-02",""
"2016","LLCP2016XPT.zip","https://www.cdc.gov/brfss/annual_data/2016/files/LLCP2016XPT.zip","eac600a8817ef2375eff5cdccba07d820565b61930cab32e24b1c673002ebe83","83360774","2026-08-02",""
"2017","LLCP2017XPT.zip","https://www.cdc.gov/brfss/annual_data/2017/files/LLCP2017XPT.zip","ed692aae6a5b240c07fe186f0397b874553b805dcc83ab043c234386003bea07","106730113","2026-08-02",""
"2018","LLCP2018XPT.zip","https://www.cdc.gov/brfss/annual_data/2018/files/LLCP2018XPT.zip","279fa976b2f651839fb15f801f8e822806405ba7280fac705af0ffda3bfef648","72859719","2026-08-02",""
"2019","LLCP2019XPT.zip","https://www.cdc.gov/brfss/annual_data/2019/files/LLCP2019XPT.zip","67f64f88ba45faf7c6e73341e75ee392e525c672fcadd5a6618bf5c4fffba304","97972814","2026-08-02",""
"2020","LLCP2020XPT.zip","https://www.cdc.gov/brfss/annual_data/2020/files/LLCP2020XPT.zip","132269948a09506392c417c4042c052f088c86334ee3bc34c2776501f240b4b6","67497017","2026-08-02",""
"2021","LLCP2021XPT.zip","https://www.cdc.gov/brfss/annual_data/2021/files/LLCP2021XPT.zip","e8a6e290cdcb6bff82d8f37dff6c3f3e435d428191eb529a716cf9f5316aa621","81597005","2026-08-02",""
"2022","LLCP2022XPT.zip","https://www.cdc.gov/brfss/annual_data/2022/files/LLCP2022XPT.zip","b6319c949b7289f8020fc903c3c2d38fe7e0b28ad703dcd81547f5cd0c0dcfeb","84614105","2026-08-02",""
"2023","LLCP2023XPT.zip","https://www.cdc.gov/brfss/annual_data/2023/files/LLCP2023XPT.zip","d1ab80e4806a1d07bd3e40ec78c971ad9ff920f3ea5f6049780aeaa41ff31f43","93237818","2026-08-02",""
"2024","LLCP2024XPT.zip","https://www.cdc.gov/brfss/annual_data/2024/files/LLCP2024XPT.zip","d33de91a584e866f657d29b1d5b51b5672467286ed22d021e36ee3c7b4d712a4","83007956","2026-08-02",""
